# DATE = date model was fitted
# ID = model number
# PART = party
# PER = fitted voting intention percentage as of `DATE`, from Stan's alphas
# SE = standard error for `PER`
DATE	ID	PART	PER	SE
"2015-03-11"	2	"LD"	8.08	0.0271
"2015-03-11"	2	"UKIP"	15.26	0.05197
"2015-03-11"	2	"GREEN"	5.964	0.02014
"2015-03-11"	2	"OTHER"	5.931	0.01983
"2015-03-12"	7	"CON"	37.1	0.2868
"2015-03-12"	7	"LAB"	36.71	0.2845
"2015-03-12"	7	"LD"	7.322	0.05611
"2015-03-12"	7	"UKIP"	11.64	0.09292
"2015-03-12"	7	"GREEN"	2.165	0.02232
"2015-03-12"	7	"OTHER"	5.064	0.03928
"2015-03-12"	6	"CON"	36.85	0.2802
"2015-03-12"	6	"LAB"	36.42	0.278
"2015-03-12"	6	"LD"	7.331	0.05657
"2015-03-12"	6	"UKIP"	11.64	0.09453
"2015-03-12"	6	"GREEN"	2.601	0.02301
"2015-03-12"	6	"OTHER"	5.159	0.04021
"2015-03-12"	5	"CON"	35.63	0.25
"2015-03-12"	5	"LAB"	35.54	0.2517
"2015-03-12"	5	"LD"	7.152	0.05178
"2015-03-12"	5	"UKIP"	12.5	0.09128
"2015-03-12"	5	"GREEN"	4.041	0.03029
"2015-03-12"	5	"OTHER"	5.139	0.03695
"2015-03-12"	4	"CON"	34.5	0.26
"2015-03-12"	4	"LAB"	35.69	0.2686
"2015-03-12"	4	"LD"	7.21	0.05493
"2015-03-12"	4	"UKIP"	13.1	0.1011
"2015-03-12"	4	"GREEN"	4.35	0.03331
"2015-03-12"	4	"OTHER"	5.156	0.03891
"2015-03-12"	3	"CON"	34.41	0.2565
"2015-03-12"	3	"LAB"	35.54	0.2659
"2015-03-12"	3	"LD"	7.245	0.05479
"2015-03-12"	3	"UKIP"	13.15	0.1012
"2015-03-12"	3	"GREEN"	4.384	0.03465
"2015-03-12"	3	"OTHER"	5.274	0.04058
"2015-03-12"	2	"CON"	31.55	0.1063
"2015-03-12"	2	"LAB"	33.13	0.11
"2015-03-12"	2	"LD"	8.054	0.02709
"2015-03-12"	2	"UKIP"	15.41	0.05211
"2015-03-12"	2	"GREEN"	5.936	0.01965
"2015-03-12"	2	"OTHER"	5.921	0.01926
"2015-03-13"	7	"CON"	35.77	0.2945
"2015-03-13"	7	"LAB"	35.73	0.2956
"2015-03-13"	7	"LD"	7.035	0.05602
"2015-03-13"	7	"UKIP"	12.96	0.1102
"2015-03-13"	7	"GREEN"	2.508	0.02678
"2015-03-13"	7	"OTHER"	6.009	0.0491
"2015-03-13"	6	"CON"	35.53	0.2624
"2015-03-13"	6	"LAB"	35.29	0.2584
"2015-03-13"	6	"LD"	7.028	0.05232
"2015-03-13"	6	"UKIP"	13.06	0.1027
"2015-03-13"	6	"GREEN"	3.031	0.0259
"2015-03-13"	6	"OTHER"	6.069	0.04568
"2015-03-13"	5	"CON"	35.03	0.2451
"2015-03-13"	5	"LAB"	35.21	0.2473
"2015-03-13"	5	"LD"	7.093	0.05109
"2015-03-13"	5	"UKIP"	13.05	0.09492
"2015-03-13"	5	"GREEN"	4.202	0.03062
"2015-03-13"	5	"OTHER"	5.424	0.03895
"2015-03-13"	4	"CON"	34.35	0.2718
"2015-03-13"	4	"LAB"	35.52	0.2821
"2015-03-13"	4	"LD"	7.229	0.05777
"2015-03-13"	4	"UKIP"	13.2	0.1081
"2015-03-13"	4	"GREEN"	4.385	0.03563
"2015-03-13"	4	"OTHER"	5.316	0.04269
"2015-03-13"	3	"CON"	34.38	0.2837
"2015-03-13"	3	"LAB"	35.6	0.2927
"2015-03-13"	3	"LD"	7.197	0.05955
"2015-03-13"	3	"UKIP"	13.16	0.1131
"2015-03-13"	3	"GREEN"	4.417	0.0386
"2015-03-13"	3	"OTHER"	5.247	0.0435
"2015-03-13"	2	"CON"	31.66	0.104
"2015-03-13"	2	"LAB"	33.03	0.1102
"2015-03-13"	2	"LD"	8.054	0.02661
"2015-03-13"	2	"UKIP"	15.38	0.05142
"2015-03-13"	2	"GREEN"	5.919	0.01983
"2015-03-13"	2	"OTHER"	5.948	0.01963
"2015-03-14"	7	"CON"	36.17	0.2755
"2015-03-14"	7	"LAB"	36.52	0.2804
"2015-03-14"	7	"LD"	7.055	0.05363
"2015-03-14"	7	"UKIP"	12.23	0.09933
"2015-03-14"	7	"GREEN"	2.62	0.02757
"2015-03-14"	7	"OTHER"	5.409	0.04107
"2015-03-14"	6	"CON"	36.19	0.2861
"2015-03-14"	6	"LAB"	36.38	0.2884
"2015-03-14"	6	"LD"	7.024	0.05598
"2015-03-14"	6	"UKIP"	11.89	0.09973
"2015-03-14"	6	"GREEN"	3.04	0.02794
"2015-03-14"	6	"OTHER"	5.483	0.04351
"2015-03-14"	5	"CON"	35.03	0.2388
"2015-03-14"	5	"LAB"	35.37	0.2393
"2015-03-14"	5	"LD"	7.074	0.04839
"2015-03-14"	5	"UKIP"	13.12	0.09346
"2015-03-14"	5	"GREEN"	4.101	0.02984
"2015-03-14"	5	"OTHER"	5.31	0.03707
"2015-03-14"	4	"CON"	34.45	0.2797
"2015-03-14"	4	"LAB"	35.65	0.2899
"2015-03-14"	4	"LD"	7.178	0.0588
"2015-03-14"	4	"UKIP"	13.16	0.1091
"2015-03-14"	4	"GREEN"	4.311	0.03675
"2015-03-14"	4	"OTHER"	5.246	0.04366
"2015-03-14"	3	"CON"	34.41	0.2754
"2015-03-14"	3	"LAB"	35.59	0.2836
"2015-03-14"	3	"LD"	7.209	0.05749
"2015-03-14"	3	"UKIP"	13.21	0.1043
"2015-03-14"	3	"GREEN"	4.307	0.03493
"2015-03-14"	3	"OTHER"	5.275	0.0421
"2015-03-14"	2	"CON"	31.61	0.1019
"2015-03-14"	2	"LAB"	33.12	0.1057
"2015-03-14"	2	"LD"	7.996	0.02543
"2015-03-14"	2	"UKIP"	15.45	0.04902
"2015-03-14"	2	"GREEN"	5.925	0.01933
"2015-03-14"	2	"OTHER"	5.902	0.01883
"2015-03-16"	7	"CON"	37.31	0.2824
"2015-03-16"	7	"LAB"	37.18	0.2833
"2015-03-16"	7	"LD"	6.926	0.05236
"2015-03-16"	7	"UKIP"	10.45	0.08671
"2015-03-16"	7	"GREEN"	2.426	0.02554
"2015-03-16"	7	"OTHER"	5.712	0.04447
"2015-03-16"	6	"CON"	37.13	0.2936
"2015-03-16"	6	"LAB"	36.81	0.2901
"2015-03-16"	6	"LD"	6.932	0.05475
"2015-03-16"	6	"UKIP"	10.5	0.08954
"2015-03-16"	6	"GREEN"	2.826	0.02654
"2015-03-16"	6	"OTHER"	5.808	0.04752
"2015-03-16"	5	"CON"	35.86	0.2477
"2015-03-16"	5	"LAB"	35.78	0.248
"2015-03-16"	5	"LD"	7.129	0.05122
"2015-03-16"	5	"UKIP"	11.62	0.08408
"2015-03-16"	5	"GREEN"	4.1	0.02981
"2015-03-16"	5	"OTHER"	5.505	0.03927
"2015-03-16"	4	"CON"	34.96	0.2686
"2015-03-16"	4	"LAB"	35.87	0.2748
"2015-03-16"	4	"LD"	7.398	0.05707
"2015-03-16"	4	"UKIP"	12.03	0.09555
"2015-03-16"	4	"GREEN"	4.398	0.03528
"2015-03-16"	4	"OTHER"	5.341	0.04198
"2015-03-16"	3	"CON"	34.93	0.2775
"2015-03-16"	3	"LAB"	35.92	0.2863
"2015-03-16"	3	"LD"	7.413	0.05882
"2015-03-16"	3	"UKIP"	12.04	0.09884
"2015-03-16"	3	"GREEN"	4.406	0.03596
"2015-03-16"	3	"OTHER"	5.288	0.04185
"2015-03-16"	2	"CON"	31.81	0.103
"2015-03-16"	2	"LAB"	33.16	0.1047
"2015-03-16"	2	"LD"	8.006	0.02647
"2015-03-16"	2	"UKIP"	15.24	0.0486
"2015-03-16"	2	"GREEN"	5.848	0.01858
"2015-03-16"	2	"OTHER"	5.939	0.01896
"2015-03-17"	7	"CON"	37.54	0.2801
"2015-03-17"	7	"LAB"	37.61	0.2824
"2015-03-17"	7	"LD"	7.131	0.0527
"2015-03-17"	7	"UKIP"	10.09	0.0825
"2015-03-17"	7	"GREEN"	2.44	0.02611
"2015-03-17"	7	"OTHER"	5.18	0.03903
"2015-03-17"	6	"CON"	37.3	0.2865
"2015-03-17"	6	"LAB"	37.05	0.2849
"2015-03-17"	6	"LD"	7.096	0.0548
"2015-03-17"	6	"UKIP"	10.31	0.08391
"2015-03-17"	6	"GREEN"	3.016	0.02717
"2015-03-17"	6	"OTHER"	5.23	0.04107
"2015-03-17"	5	"CON"	35.84	0.2474
"2015-03-17"	5	"LAB"	35.91	0.2476
"2015-03-17"	5	"LD"	7.126	0.04943
"2015-03-17"	5	"UKIP"	11.67	0.08361
"2015-03-17"	5	"GREEN"	4.101	0.03035
"2015-03-17"	5	"OTHER"	5.35	0.03752
"2015-03-17"	4	"CON"	34.97	0.2721
"2015-03-17"	4	"LAB"	36.06	0.2819
"2015-03-17"	4	"LD"	7.307	0.05791
"2015-03-17"	4	"UKIP"	12.03	0.09734
"2015-03-17"	4	"GREEN"	4.368	0.03568
"2015-03-17"	4	"OTHER"	5.26	0.04124
"2015-03-17"	3	"CON"	34.93	0.2785
"2015-03-17"	3	"LAB"	35.93	0.2857
"2015-03-17"	3	"LD"	7.344	0.05882
"2015-03-17"	3	"UKIP"	12.09	0.09914
"2015-03-17"	3	"GREEN"	4.416	0.03687
"2015-03-17"	3	"OTHER"	5.285	0.04304
"2015-03-17"	2	"CON"	31.84	0.09934
"2015-03-17"	2	"LAB"	33.15	0.1057
"2015-03-17"	2	"LD"	8.041	0.02464
"2015-03-17"	2	"UKIP"	15.21	0.04729
"2015-03-17"	2	"GREEN"	5.817	0.01752
"2015-03-17"	2	"OTHER"	5.949	0.01888
"2015-03-18"	7	"CON"	37.77	0.2856
"2015-03-18"	7	"LAB"	38.15	0.2892
"2015-03-18"	7	"LD"	7.173	0.0535
"2015-03-18"	7	"UKIP"	9.407	0.0755
"2015-03-18"	7	"GREEN"	2.418	0.02638
"2015-03-18"	7	"OTHER"	5.078	0.03877
"2015-03-18"	6	"CON"	37.61	0.3092
"2015-03-18"	6	"LAB"	37.8	0.3078
"2015-03-18"	6	"LD"	7.131	0.05936
"2015-03-18"	6	"UKIP"	9.442	0.08252
"2015-03-18"	6	"GREEN"	2.888	0.0279
"2015-03-18"	6	"OTHER"	5.137	0.04268
"2015-03-18"	5	"CON"	35.94	0.2558
"2015-03-18"	5	"LAB"	36.2	0.2587
"2015-03-18"	5	"LD"	7.118	0.05204
"2015-03-18"	5	"UKIP"	11.37	0.08482
"2015-03-18"	5	"GREEN"	4.053	0.03099
"2015-03-18"	5	"OTHER"	5.32	0.03915
"2015-03-18"	4	"CON"	35.03	0.2791
"2015-03-18"	4	"LAB"	35.98	0.2862
"2015-03-18"	4	"LD"	7.323	0.0588
"2015-03-18"	4	"UKIP"	12.05	0.0987
"2015-03-18"	4	"GREEN"	4.375	0.03661
"2015-03-18"	4	"OTHER"	5.244	0.0417
"2015-03-18"	3	"CON"	34.91	0.2774
"2015-03-18"	3	"LAB"	35.89	0.2872
"2015-03-18"	3	"LD"	7.357	0.0594
"2015-03-18"	3	"UKIP"	12.13	0.09931
"2015-03-18"	3	"GREEN"	4.433	0.03707
"2015-03-18"	3	"OTHER"	5.284	0.04259
"2015-03-18"	2	"CON"	32.01	0.1022
"2015-03-18"	2	"LAB"	32.97	0.1059
"2015-03-18"	2	"LD"	8.008	0.02642
"2015-03-18"	2	"UKIP"	15.27	0.04909
"2015-03-18"	2	"GREEN"	5.771	0.01888
"2015-03-18"	2	"OTHER"	5.97	0.01908
"2015-03-19"	7	"CON"	37.69	0.3221
"2015-03-19"	7	"LAB"	38.19	0.3239
"2015-03-19"	7	"LD"	7.315	0.05831
"2015-03-19"	7	"UKIP"	9.505	0.08255
"2015-03-19"	7	"GREEN"	2.314	0.0249
"2015-03-19"	7	"OTHER"	4.984	0.04105
"2015-03-19"	6	"CON"	37.29	0.2922
"2015-03-19"	6	"LAB"	37.61	0.2955
"2015-03-19"	6	"LD"	7.307	0.05793
"2015-03-19"	6	"UKIP"	9.889	0.08416
"2015-03-19"	6	"GREEN"	2.867	0.02625
"2015-03-19"	6	"OTHER"	5.043	0.04103
"2015-03-19"	5	"CON"	35.9	0.2433
"2015-03-19"	5	"LAB"	36.27	0.2439
"2015-03-19"	5	"LD"	7.215	0.05032
"2015-03-19"	5	"UKIP"	11.3	0.07953
"2015-03-19"	5	"GREEN"	4.024	0.02875
"2015-03-19"	5	"OTHER"	5.287	0.03686
"2015-03-19"	4	"CON"	35.01	0.2616
"2015-03-19"	4	"LAB"	35.96	0.2671
"2015-03-19"	4	"LD"	7.366	0.05573
"2015-03-19"	4	"UKIP"	12.02	0.09154
"2015-03-19"	4	"GREEN"	4.392	0.03333
"2015-03-19"	4	"OTHER"	5.243	0.03917
"2015-03-19"	3	"CON"	34.93	0.2797
"2015-03-19"	3	"LAB"	36.01	0.2876
"2015-03-19"	3	"LD"	7.38	0.06016
"2015-03-19"	3	"UKIP"	12.02	0.09982
"2015-03-19"	3	"GREEN"	4.394	0.03746
"2015-03-19"	3	"OTHER"	5.261	0.04281
"2015-03-19"	2	"CON"	31.9	0.1028
"2015-03-19"	2	"LAB"	33.18	0.1051
"2015-03-19"	2	"LD"	8.009	0.02506
"2015-03-19"	2	"UKIP"	15.19	0.04729
"2015-03-19"	2	"GREEN"	5.785	0.01847
"2015-03-19"	2	"OTHER"	5.938	0.01903
"2015-03-20"	7	"CON"	37.19	0.2789
"2015-03-20"	7	"LAB"	37.61	0.2827
"2015-03-20"	7	"LD"	7.445	0.05395
"2015-03-20"	7	"UKIP"	10.55	0.08623
"2015-03-20"	7	"GREEN"	2.449	0.02541
"2015-03-20"	7	"OTHER"	4.751	0.03513
"2015-03-20"	6	"CON"	36.94	0.2854
"2015-03-20"	6	"LAB"	37.11	0.2841
"2015-03-20"	6	"LD"	7.442	0.05796
"2015-03-20"	6	"UKIP"	10.69	0.08939
"2015-03-20"	6	"GREEN"	2.981	0.0268
"2015-03-20"	6	"OTHER"	4.831	0.03833
"2015-03-20"	5	"CON"	35.82	0.2523
"2015-03-20"	5	"LAB"	36.16	0.255
"2015-03-20"	5	"LD"	7.33	0.05184
"2015-03-20"	5	"UKIP"	11.46	0.08482
"2015-03-20"	5	"GREEN"	4.058	0.03
"2015-03-20"	5	"OTHER"	5.183	0.03697
"2015-03-20"	4	"CON"	34.98	0.274
"2015-03-20"	4	"LAB"	35.98	0.282
"2015-03-20"	4	"LD"	7.347	0.05863
"2015-03-20"	4	"UKIP"	12.12	0.0977
"2015-03-20"	4	"GREEN"	4.383	0.03642
"2015-03-20"	4	"OTHER"	5.195	0.04165
"2015-03-20"	3	"CON"	34.9	0.2685
"2015-03-20"	3	"LAB"	36.01	0.277
"2015-03-20"	3	"LD"	7.354	0.05672
"2015-03-20"	3	"UKIP"	12.07	0.0966
"2015-03-20"	3	"GREEN"	4.421	0.03513
"2015-03-20"	3	"OTHER"	5.251	0.04088
"2015-03-20"	2	"CON"	31.83	0.1013
"2015-03-20"	2	"LAB"	33.2	0.103
"2015-03-20"	2	"LD"	7.989	0.02549
"2015-03-20"	2	"UKIP"	15.21	0.04761
"2015-03-20"	2	"GREEN"	5.813	0.0182
"2015-03-20"	2	"OTHER"	5.963	0.01902
